episode,reward,actions
289,275,"Counter({0: 30, 3: 1})"
290,280,Counter({0: 30})
291,275,"Counter({0: 30, 3: 1})"
292,277,"Counter({0: 30, 1: 1})"
293,280,Counter({0: 30})
294,280,Counter({0: 30})
295,252,"Counter({0: 30, 1: 1, 6: 1})"
296,280,Counter({0: 30})
297,280,Counter({0: 30})
298,280,Counter({0: 30})
299,255,"Counter({0: 30, 6: 1})"
300,280,Counter({0: 30})
301,280,Counter({0: 30})
302,255,"Counter({0: 30, 6: 1})"
303,280,Counter({0: 30})
304,280,Counter({0: 30})
305,280,Counter({0: 30})
306,280,Counter({0: 30})
307,257,"Counter({0: 30, 5: 1})"
308,280,Counter({0: 30})
309,255,"Counter({0: 30, 6: 1})"
310,255,"Counter({0: 30, 6: 1})"
311,280,Counter({0: 30})
312,257,"Counter({0: 30, 5: 1})"
313,280,Counter({0: 30})
314,280,Counter({0: 30})
315,280,Counter({0: 30})
316,280,Counter({0: 30})
317,280,Counter({0: 30})
318,280,Counter({0: 30})
319,277,"Counter({0: 30, 1: 1})"
320,280,Counter({0: 30})
321,257,"Counter({0: 30, 4: 1})"
322,274,"Counter({0: 30, 1: 1, 2: 1})"
323,280,Counter({0: 30})
324,280,Counter({0: 30})
325,280,Counter({0: 30})
326,280,Counter({0: 30})
327,280,Counter({0: 30})
328,280,Counter({0: 30})
329,280,Counter({0: 30})
330,232,"Counter({0: 30, 5: 1, 6: 1})"
331,280,Counter({0: 30})
332,280,Counter({0: 30})
333,280,Counter({0: 30})
334,280,Counter({0: 30})
335,280,Counter({0: 30})
336,205,"Counter({0: 30, 6: 3})"
337,277,"Counter({0: 30, 1: 1})"
338,280,Counter({0: 30})
339,277,"Counter({0: 30, 2: 1})"
340,280,Counter({0: 30})
341,280,Counter({0: 30})
342,255,"Counter({0: 30, 6: 1})"
343,280,Counter({0: 30})
344,280,Counter({0: 30})
345,280,Counter({0: 30})
346,280,Counter({0: 30})
347,280,Counter({0: 30})
348,280,Counter({0: 30})
349,257,"Counter({0: 30, 4: 1})"
350,280,Counter({0: 30})
351,280,Counter({0: 30})
352,280,Counter({0: 30})
353,255,"Counter({0: 30, 6: 1})"
354,280,Counter({0: 30})
355,280,Counter({0: 30})
356,280,Counter({0: 30})
357,255,"Counter({0: 30, 6: 1})"
358,280,Counter({0: 30})
359,255,"Counter({0: 30, 6: 1})"
360,280,Counter({0: 30})
361,280,Counter({0: 30})
362,280,Counter({0: 30})
363,280,Counter({0: 30})
364,280,Counter({0: 30})
365,280,Counter({0: 30})
366,280,Counter({0: 30})
367,280,Counter({0: 30})
368,280,Counter({0: 30})
369,280,Counter({0: 30})
370,280,Counter({0: 30})
371,274,"Counter({0: 30, 1: 1, 2: 1})"
372,280,Counter({0: 30})
373,280,Counter({0: 30})
374,280,Counter({0: 30})
375,280,Counter({0: 30})
376,280,Counter({0: 30})
377,280,Counter({0: 30})
378,280,Counter({0: 30})
379,280,Counter({0: 30})
380,280,Counter({0: 30})
381,280,Counter({0: 30})
382,280,Counter({0: 30})
383,275,"Counter({0: 30, 3: 1})"
384,280,Counter({0: 30})
385,280,Counter({0: 30})
386,280,Counter({0: 30})
387,280,Counter({0: 30})
388,277,"Counter({0: 30, 1: 1})"
389,280,Counter({0: 30})
390,280,Counter({0: 30})
391,280,Counter({0: 30})
392,280,Counter({0: 30})
393,280,Counter({0: 30})
394,280,Counter({0: 30})
395,280,Counter({0: 30})
396,254,"Counter({0: 30, 5: 1, 2: 1})"
397,280,Counter({0: 30})
398,207,"Counter({0: 30, 6: 2, 5: 1})"
399,280,Counter({0: 30})
400,280,Counter({0: 30})
401,257,"Counter({0: 30, 5: 1})"
402,280,Counter({0: 30})
403,255,"Counter({0: 30, 6: 1})"
404,255,"Counter({0: 30, 6: 1})"
405,277,"Counter({0: 30, 1: 1})"
406,280,Counter({0: 30})
407,255,"Counter({0: 30, 6: 1})"
408,280,Counter({0: 30})
409,277,"Counter({0: 30, 2: 1})"
410,277,"Counter({0: 30, 2: 1})"
411,280,Counter({0: 30})
412,255,"Counter({0: 30, 6: 1})"
413,280,Counter({0: 30})
414,257,"Counter({0: 30, 5: 1})"
415,232,"Counter({0: 30, 4: 1, 6: 1})"
416,280,Counter({0: 30})
417,255,"Counter({0: 30, 6: 1})"
418,280,Counter({0: 30})
419,243,"Counter({0: 30, 1: 2, 2: 2, 6: 1})"
420,255,"Counter({0: 30, 6: 1})"
421,280,Counter({0: 30})
